,Arterial EC,B cell,Breast basal cell,Breast cancer specific luminal cell,Breast cancer specific proliferation luminal cell,Capillary EC,CD4 T,cDC2,CFD fibroblast,CXCL1/2/3 fibroblast,CXCL13 exhausted CD8 T,Fibroblast,GZMH CD8 T,GZMK CD8 T,IgA plasma,IgG plasma cell,INF responsed T,Luminal progenitor,Lymphatic EC,Macrophage,Mast cell,Monocyte,mregDC,NK cell,pDC,Pericyte,Proliferation macrophage,Proliferation T/NK,Smooth muscle cell,Tfh,TGM2 luminal cell,TNBC-specific epithelial cell,Treg,Venous EC
ATG3,0.6800808557226999,0.7164211371710996,0.5169098886602532,0.37587434292914707,0.6105552362839255,0.4902982487186565,0.4259716402902374,1.6797542200222746,0.4749375998033798,0.5724995982581174,0.5025154478865437,0.3661806030150769,0.5500599818684302,0.4864059793175176,0.23300938256532375,0.19966788453344728,0.4925695021716844,0.3791275799743889,0.9094466333692458,1.0801537526919998,0.6483662357997825,1.2792209522742397,0.9544985845752069,0.4929429684683338,0.4923429554354794,0.5387539377103252,1.2870314248351387,0.7652855225623045,0.4208918343325225,0.5276147725109617,0.3458446928464902,0.8669369637930604,0.606337855806625,0.4981402454353943
BICC1,0.012048681664922845,0.0015637297601220016,0.276224139848206,0.02970340103840203,0.002528581374428706,0.001059709016898695,0.0,0.0,1.4250967282226574,0.5380487252664392,0.0,1.179988490286002,0.013732478959528407,0.0,0.01927856443820846,0.0008698898450491269,0.0,0.045310483491626224,0.010288233468954551,0.0066359452428301395,0.0017796205120162738,0.0014764988092315831,0.007378177240375425,0.0,0.0,0.10738253067522781,0.005546726831082947,0.010546918923963262,0.02074821669961967,0.024435807839056394,0.006054658825662659,0.05697758198385832,0.0,0.0034708313619492156
EPB41,0.050618459088820324,0.6079178626253325,0.08574622519119748,0.20283355959099889,0.13715349202671015,0.08408090038113725,1.0942064045961237,0.2522501194981708,0.03629714424632126,0.0021047445489407873,0.4197096522599528,0.0596139043749263,0.7595875540059297,1.058409062086899,0.14827848923845208,0.12440751589531,0.5540003711507471,0.13238798504886456,0.19075761460377189,0.17741627367046708,0.2235316971803826,0.12006228494524535,0.09758580909884078,0.6955068124311271,0.4051425276546766,0.0,0.21425296683933495,0.49648803862523205,0.07376164835431881,0.5908425384852176,0.32925684456580595,0.14907985166255067,1.1582817778096122,0.07216428518390317
PSMD12,0.8069974706846528,0.5589415311674237,0.9430410847384982,0.4728123991961833,0.726335560700052,0.7820674379621861,0.3881848056616636,0.35830629397165537,0.4053388808305432,1.1116362137981282,0.5380889468714712,0.3069144453899636,0.41623590229662955,0.4338140497318126,0.21620814477030317,0.16959987365706555,0.47376946213478194,0.5901758604097357,0.913921965845461,0.4061927496697041,0.4279334932656441,0.3868085335405185,0.283220034836525,0.42714401029028687,0.35543862641136664,1.673409817241237,0.4419156436759141,0.6770187645316516,1.369025419301358,0.5118558681363,0.654172839465997,0.5818228853109604,0.4712415198902469,0.7299387476382985
COL17A1,0.054365452441992826,0.014921059059704443,1.8751060033188078,0.0,0.007637412465701383,0.028655164828413994,0.0,0.01586378534113031,0.0,0.00984976720248094,0.004615334656145136,0.003834697285569316,0.012078875849055589,0.021584599989346205,0.0,0.0,0.015006091322883832,0.018025483707035456,0.0,0.0,0.005866224356542183,0.0,0.006944569732927341,0.014463934974510376,0.0,0.0026669152022644658,0.01880808332043444,0.0017122877638703436,0.0,0.0006131775110607032,0.03901847649947054,0.02542038454812126,0.004278269236183834,0.04947297119945685
COL16A1,0.05108613566160311,0.0,0.4209122807083399,0.06488076858195482,0.04833231368008442,0.0280483637314696,0.012413459667347916,0.0,0.5851510050604503,0.1446540450019869,0.008421001902674915,1.784820907032717,0.012753128004725053,0.01770121643749634,0.0007576590438117979,0.0,0.0,0.06776598702585068,0.03509849588137977,0.0,0.010561553522891185,0.013034863361151311,0.0,0.011898947136279488,0.009530044878478711,0.21091854722236805,0.007297768740516859,0.0,0.1598990412375977,0.0,0.041605115480163074,0.09019413817831512,0.012024070286814697,0.007787777090864782
CD248,0.0,0.013813399760135,0.0,0.005446428263941372,0.006173667790493836,0.02515687421146073,0.012332799665922885,0.0,1.0410514586369028,0.027619791484587507,0.049079463120866695,0.9941685967138741,0.03817899701783497,0.0,0.017596486216690358,0.0,0.0,0.0,0.00657604693048687,0.0,0.0,0.007822859138862154,0.0,0.01419076347672267,0.02652810544975596,1.2634362151009655,0.0031711971596165385,0.013142556257977545,0.32281681838416576,0.0,0.0,0.004372401380368219,0.0,0.0
TPST2,0.23505693890484697,0.23391717158364295,0.26722134438512407,0.16563512381431433,0.1589825058854447,0.3819532776211977,0.31940489338843864,0.2333840818063429,0.07589021025002064,0.08926967674774726,0.9913251519130002,0.5194040949081689,1.0936759196089707,0.8271389467464556,0.5442086977749849,0.8298687204833864,0.6938434642838233,0.035453476414564186,0.5017480832666544,0.4340207806040799,0.599271047878579,0.28081628492433425,0.05601020705805184,1.3547514997566084,0.46514846205497745,0.12916334114854827,0.3278591680270232,0.7265612793091208,0.13597107201540465,0.7970087156196672,0.27917453167999556,0.2647007717516374,0.4370647836109528,0.43191629779000684
KANK2,0.11406111692333422,0.00843919029499696,0.12108846978031902,0.09602381443342592,0.19733132240214762,0.21675259892354856,0.002866990645465331,0.007782374529681831,0.8726839179254319,0.06618194566207197,0.0014458377072107727,1.0471026458447152,0.003411086033186053,0.0,0.0,0.009551832493576308,0.003778243140448276,0.039772547033941195,0.3401415657532192,0.03505373227488054,0.13427046483427452,0.017336481191348042,0.0,0.019616423757473352,0.015314564098251863,0.8114080506398841,0.06627547071226503,0.055726865943771665,1.2366187031847813,0.0009171458517649861,0.037117397787163615,0.26610108302363644,0.007248303213327813,0.03362352582570373
RBBP4,0.6921980111304495,0.8456251326412444,0.6652724852151604,1.1353699392813448,1.5820319899258046,0.7744989990638519,0.7578648686505959,0.7621121149220443,0.5770217690927947,0.6198515983608657,1.3072558821645182,0.6266816923636676,0.8006288795379798,0.8119421069062913,0.5100663692923345,0.4375397599303377,0.7817453850857121,0.738546844052684,0.6549942289229951,0.6727085637845888,0.5542415917087459,0.848149252705466,0.5849260980062815,0.9707967227032728,1.5161224692284416,0.5947850585176151,1.140722614582593,1.4975538895541847,0.5793672430981145,1.18841180578713,0.7631171647717803,1.5244608916415916,1.1741597940309612,0.7080724353879574
AK6,0.8016964472380721,0.5150359968183111,1.0195093293470232,0.4743589431428456,0.5390626635480875,0.6667295608699108,0.24857199268397526,0.25644564878282683,0.657546907294082,1.7326223730916557,0.3621554725912466,0.25816661732160096,0.31485928064358715,0.2804304696577777,0.15632534359730724,0.13695417798230586,0.3005245351225266,0.5602961568557014,0.9075201430188833,0.30454527799821146,0.5861354734927746,0.32361898330857103,0.17099225110882524,0.3072850704070958,0.33656156778524665,0.9199337525116247,0.48382835452076545,0.525495872551539,0.9080184437889985,0.3623359798311674,0.5835392816375887,0.34882613197332596,0.42254245324681877,0.7094456289157236
GYG1,0.21675195222799692,0.16659462579946055,0.18146367660390295,0.31384122706594764,0.35779955809160785,0.23472165901164288,0.4102174659987514,0.37957804641632537,0.20666775182711758,0.12433869525712044,0.912010640164879,0.2650241102843777,0.9170754160134,1.1446019189750503,0.127706561711849,0.13992611730512425,1.3461704115927187,0.20267545697200026,0.06172641652960566,0.45814468956697385,0.22413055183094827,0.4059171337302656,0.2898913791660459,0.9598762791270171,0.4883436784638971,0.544593528989025,0.3807278356650866,0.9360990256996877,0.5542973740683323,0.4544795434407939,0.17661322578872052,0.2868560180602806,0.44717940987552546,0.15245664898565342
UVRAG,0.4300338733671911,0.8066699086750286,0.14197082723956103,0.19384551955626766,0.2357029777857844,0.23366053721191302,0.32423203886720053,0.7762476522227862,0.15796144409253654,0.13666756526545165,0.3775804228965478,0.19916094765593928,0.25934363696951124,0.3813599097232925,0.03218682864222534,0.026244795558498943,0.48945650039501704,0.16274458450896395,0.8729643816407645,0.3127257663700712,0.15151659955648775,0.48955319742033626,1.6855943193757503,0.29186628053527564,0.861116648273207,0.20195281045238372,0.32490050120255703,0.23306719556596847,0.1469503924297485,0.36238773051443,0.17194037438430457,0.17696585120374722,0.364667090011828,0.24292018871958046
LARP6,0.4258258330217048,0.004636010261761147,0.2778639770932613,0.1033726393923407,0.16958333590254238,0.5152517813309374,0.0035396676725634024,0.026170000023378465,0.8322380708258461,1.3138659574631335,0.02883196849886458,0.26133617217043226,0.0,0.0,0.0,0.015689140479336235,0.04603801500892141,0.23631594932054048,0.6005374578707866,0.0,0.0,0.02858064322649254,0.009841930235430832,0.022112757505696475,0.0008758361431905693,0.29051833324843856,0.05441999632982411,0.004480958004985547,0.20819771196044376,0.0,0.30974057448656384,0.9106625704523658,0.006927815217619544,0.6598931978857284
TCF7L2,0.5475210866595067,0.02906567499999692,0.49678744354930815,0.22228444731866462,0.20261798164464184,0.37129274126956624,0.022382002546636474,0.06917201524984018,1.5274378016210048,0.16250051115644706,0.02088711547812229,1.064156690674224,0.03364337260749824,0.04375261592673764,0.014838593376201211,0.0216265608404201,0.06086403557026562,0.38810760921138776,0.4895304956113832,0.24304983818288936,0.027954001610294356,0.10636184287459965,0.05863789662833743,0.03693311761737568,0.011919372366453036,0.2982656338848029,0.18472606979999856,0.02200435298150579,0.4663907148539866,0.02114314797926301,0.23505559672961246,0.33050119699347724,0.018002439996152846,0.2724764925752408
PRKACB,0.14947626010372617,0.3421099278556849,0.11494521303053779,0.17714455029679887,0.14801643106500037,0.10793544045698812,0.6634158334477365,0.2868949754296414,0.1664791235368947,0.05441197118735836,0.7795785252690633,0.21925480645468046,0.9140966953729808,0.9630868986831949,0.09660584644620152,0.11942962412338969,0.679219841727764,0.04109519349244848,0.0,0.3115606646853934,0.23859001705974492,0.31421059636924337,0.04776348333203861,1.0747707319207767,0.6962178084747905,0.06294692304047304,0.32975049379141796,0.7413521397561034,0.1260455513835742,0.8021536493619912,0.06399848760427468,0.07293689046799401,0.6877356418423771,0.05658856276368436
PSMC5,1.179525921149865,0.9865587589096747,1.1472574495191015,1.0596196958718627,1.2706780121631767,1.289140848631914,1.0031851879610136,0.8712465778693194,0.8140304476153535,1.4375938746355992,1.3268051386659327,0.804304093948502,1.0304414057333984,1.0402147696011304,0.2978110190956039,0.34828524306341613,0.9425082988648827,1.0068916224063038,1.1961378677907808,0.899162450954224,0.9939264329843237,0.9051135104105443,0.791551910185595,1.1287086098839436,0.6081011521898996,1.669772099619275,1.090787127906778,1.5940756843281285,1.1358607233586984,1.4400347945334164,0.9536192315829863,0.9061256690590277,1.5350727221640583,1.5852405603609308
PDAP1,1.3811199970343488,1.1238451947068566,0.9469778744698023,1.3828940539874641,1.7860715758644885,1.2689983157339138,0.8337941032078116,0.6328313464119846,0.6870618591346539,0.8708346652593791,1.0826865814504654,1.0133579385841591,0.9148113352797124,0.9838319123947119,0.3692027536981079,0.3974289371767358,1.0156465400574928,1.137634656776976,0.8324276088427374,0.6855672363074712,0.6701819282361036,0.7302523046589975,0.7551127714486683,1.0415597801044654,0.6751577212695844,1.1536231220658393,1.1202819925193286,1.414739407454384,0.9943390398701674,1.2339634395166137,1.411789673971869,1.5378522458601824,1.1567230054546964,1.2091031425350738
